valCount,probes
1,0
2,0
3,0
4,2
5,4
6,4
7,4
8,6
9,6
10,8
11,8
12,8
13,8
14,8
15,8
16,10
17,13
18,13
19,19
20,19
21,21
22,28
23,28
24,33
25,33
26,33
27,33
28,36
29,39
30,39
31,41
32,41
33,45
34,47
35,47
36,47
37,51
38,55
39,55
40,59
41,59
42,59
43,65
44,65
45,65
46,65
47,65
48,70
49,75
50,75
51,75
52,80
53,82
54,82
55,82
56,84
57,84
58,89
59,89
60,93
61,98
62,103
63,103
64,103
65,108
66,108
67,108
68,108
69,108
70,108
71,110
72,110
73,116
74,122
75,122
76,128
77,131
78,134
79,136
80,142
81,142
82,179
83,179
84,179
85,181
86,181
87,181
88,181
89,181
90,183
91,183
92,185
93,185
94,187
95,187
96,190
97,190
98,190
99,190
100,190
101,190
102,190
103,196
104,196
105,196
106,196
107,198
108,198
109,198
110,198
111,198
112,198
113,202
114,202
115,204
116,204
117,204
118,204
119,206
120,206
121,206
122,206
123,206
124,206
125,206
126,210
127,210
128,210
129,210
130,210
131,212
132,212
133,212
134,212
135,212
136,212
137,212
138,212
139,214
140,214
141,214
142,221
143,221
144,223
145,223
146,223
147,223
148,241
149,243
150,245
151,247
152,250
153,250
154,252
155,252
156,254
157,258
158,261
159,264
160,264
161,267
162,267
163,271
164,273
165,273
166,346
167,346
168,346
169,346
170,346
171,346
172,346
173,348
174,348
175,348
176,350
177,353
178,353
179,353
180,353
181,353
182,353
183,353
184,353
185,356
186,356
187,356
188,359
189,359
190,359
191,359
192,359
193,359
194,359
195,361
196,361
197,361
198,361
199,365
200,367
201,367
202,369
203,369
204,369
205,371
206,371
207,371
208,373
209,373
210,373
211,373
212,373
213,373
214,375
215,375
216,375
217,375
218,375
219,375
220,375
221,375
222,375
223,375
224,375
225,375
226,375
227,375
228,375
229,378
230,383
231,383
232,383
233,383
234,383
235,385
236,385
237,385
238,385
239,385
240,385
241,387
242,389
243,389
244,389
245,401
246,401
247,403
248,403
249,405
250,409
251,416
252,416
253,419
254,419
255,419
256,419
257,419
258,419
259,419
260,419
261,419
262,423
263,423
264,437
265,437
266,437
267,437
268,437
269,437
270,440
271,445
272,449
273,453
274,456
275,458
276,460
277,462
278,462
279,464
