valCount,collisions
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,4
19,4
20,4
21,4
22,4
23,4
24,5
25,5
26,5
27,5
28,5
29,6
30,6
31,7
32,7
33,7
34,8
35,9
36,10
37,10
38,10
39,11
40,11
41,11
42,12
43,12
44,13
45,14
46,14
47,14
48,14
49,15
50,15
51,16
52,16
53,17
54,17
55,17
56,17
57,17
58,18
59,19
60,19
61,19
62,20
63,20
64,20
65,20
66,20
67,21
68,21
69,22
70,23
71,23
72,24
73,25
74,25
75,25
76,25
77,26
78,26
79,27
80,27
81,28
82,28
83,29
84,29
85,29
86,29
87,30
88,30
89,30
90,31
91,31
92,32
93,32
94,32
95,33
96,33
97,33
98,33
99,34
100,35
101,35
102,35
103,35
104,36
105,36
106,36
107,37
108,37
109,38
110,39
111,39
112,40
113,40
114,41
115,41
116,41
117,41
118,42
119,42
120,42
121,42
122,42
123,43
124,43
125,43
126,44
127,44
128,44
129,44
130,45
131,45
132,45
133,46
134,46
135,46
136,46
137,46
138,47
139,48
140,49
141,49
142,50
143,50
144,50
145,50
146,50
147,50
148,51
149,52
150,52
151,53
152,53
153,54
154,54
155,54
156,55
157,56
158,56
159,57
160,58
161,58
162,59
163,59
164,60
165,61
166,61
167,61
168,61
169,62
170,63
171,64
172,64
173,64
174,65
175,66
176,66
177,66
178,66
179,66
180,66
181,66
182,66
183,66
184,66
185,66
186,66
187,66
188,66
189,66
190,66
191,66
192,67
193,67
194,67
195,67
196,67
197,68
198,69
199,69
200,69
201,69
202,69
203,69
204,69
205,69
206,70
207,70
208,70
209,70
210,71
211,71
212,71
213,71
214,71
215,71
216,71
217,71
218,71
219,71
220,71
221,72
222,73
223,73
224,73
225,73
226,74
227,74
228,74
229,74
230,74
231,74
232,75
233,75
234,76
235,77
236,77
237,78
238,78
239,78
240,78
241,79
242,79
243,79
244,79
245,79
246,80
247,81
248,81
249,81
250,81
251,81
252,81
253,81
254,81
255,82
256,82
257,83
258,83
259,83
260,84
261,84
262,84
263,84
264,84
265,84
266,84
267,85
268,85
269,86
270,86
271,86
272,86
273,87
274,87
275,87
276,87
277,87
278,87
279,87
