valCount,collisions
1,0
2,0
3,1
4,1
5,1
6,2
7,3
8,4
9,5
10,5
11,5
12,6
13,6
14,7
15,8
16,9
17,9
18,9
19,9
20,9
21,9
22,10
23,10
24,10
25,11
26,12
27,12
28,13
29,13
30,14
31,14
32,14
33,14
34,14
35,14
36,14
37,14
38,14
39,14
40,14
41,14
42,15
43,15
44,15
45,16
46,16
47,16
48,16
49,17
50,18
51,18
52,18
53,18
54,18
55,18
56,19
57,19
58,19
59,20
60,21
61,22
62,22
63,23
64,24
65,24
66,24
67,24
68,25
69,25
70,25
71,25
72,25
73,25
74,25
75,25
76,26
77,26
78,27
79,27
80,27
81,28
82,28
83,28
84,28
85,28
86,28
87,28
88,28
89,29
90,30
91,30
92,30
93,30
94,30
95,31
96,31
97,31
98,32
99,33
100,33
101,33
102,34
103,35
104,35
105,35
106,35
107,35
108,36
109,36
110,37
111,38
112,39
113,39
114,40
115,40
116,40
117,40
118,41
119,42
120,42
121,43
122,44
123,45
124,45
125,45
126,45
127,46
128,46
129,46
130,46
131,47
132,47
133,47
134,47
135,47
136,47
137,47
138,47
139,47
140,47
141,47
142,47
143,47
144,47
145,47
146,47
147,47
148,47
149,47
150,47
151,48
152,49
153,49
154,49
155,49
156,50
157,50
158,51
159,51
160,51
161,51
162,51
163,51
164,51
165,52
166,52
167,53
168,53
169,53
170,53
171,54
172,54
173,54
174,54
175,55
176,55
177,55
178,55
179,55
180,55
181,55
182,55
183,55
184,55
185,56
186,56
187,56
188,56
189,56
190,57
191,57
192,58
193,58
194,58
195,58
196,58
197,59
198,59
199,59
200,59
201,59
202,59
203,60
204,60
205,61
206,62
207,63
208,63
209,64
210,64
211,64
212,64
213,64
214,64
215,65
216,65
217,66
218,66
219,66
220,67
221,68
222,68
223,69
224,69
225,69
226,69
227,70
228,71
229,72
230,73
231,73
232,73
233,74
234,75
235,76
236,76
237,77
238,78
239,79
240,80
241,80
242,81
243,82
244,82
245,83
246,83
247,83
248,83
249,84
250,85
251,86
252,87
253,88
254,88
255,89
256,89
257,89
258,89
259,89
260,89
261,89
262,89
263,89
264,89
265,89
266,89
267,89
268,89
269,90
270,90
271,91
272,91
273,91
274,91
275,91
276,91
277,91
278,91
279,92
